date,symbol,return_1d,sma_20,sma_60,price_vs_sma20,price_vs_sma60,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_width_20,atr_14,volume_ratio_20d,er_5d,er_20d,dd_20d,p_up_20d
2025-04-02,005930,0.0,57715.0,55910.0,0.018799272286234014,0.051690216419245205,59010.495447092646,57911.55676202217,1098.938685070476,1161.7035305801562,-62.7648455096803,62.893081761006286,0.1963610573649056,1671.4285714285713,0.7047182278214029,-0.09863945578231292,-0.056122448979591844,0.08843537414965986,0.0
2025-04-03,005930,-0.020408163265306145,57880.0,55980.0,-0.004837595024188013,0.02893890675241151,58793.49614753993,57888.47848335386,905.0176641860744,1110.3663573013398,-205.3486931152654,58.47953216374269,0.1882188752514078,1757.142857142857,0.937912754164688,-0.02083333333333337,-0.05729166666666663,0.06944444444444445,0.0
2025-04-04,005930,-0.02604166666666663,58000.0,56008.333333333336,-0.03275862068965518,0.0016366612111291534,58379.112124841486,57755.998595698016,623.1135291434693,1012.9157916697657,-389.8022625262963,45.22292993630574,0.1783528813820095,1714.2857142857142,1.1065312668005352,-0.016042780748663055,-0.0267379679144385,0.05169340463458111,0.0
2025-04-07,005930,-0.05169340463458105,57975.0,55963.333333333336,-0.0823630875377318,-0.049377568646137404,57582.325644096636,57418.5172182389,163.80842585773644,843.0943185073598,-679.2858926496234,38.17204301075269,0.1814309609887301,1807.142857142857,1.4403578964188977,0.0563909774436091,0.026315789473684292,0.0,1.0
2025-04-08,005930,0.005639097744360999,57970.0,55931.666666666664,-0.07710884940486462,-0.04347566971602246,56954.27554500484,57128.25668355454,-173.98113854969415,639.679227095949,-813.6603656456432,36.11111111111111,0.18202591782509836,1828.5714285714287,1.1294958908426391,0.05794392523364489,0.024299065420560817,0.009345794392523364,1.0
2025-04-09,005930,-0.009345794392523366,57875.0,55860.0,-0.08423326133909292,-0.05119942713927672,56345.925461157945,56822.45989218013,-476.53443102218444,416.43649547232235,-892.9709264945068,28.57142857142857,0.19195758868676668,1800.0,0.905050263078109,0.03207547169811331,0.08679245283018866,0.0,1.0
2025-04-10,005930,0.0641509433962264,57960.0,55865.0,-0.026915113871635588,0.009576658014857298,56354.2446209798,56791.166566833446,-436.9219458536463,245.76480720712863,-682.6867530607749,35.82887700534759,0.18660869971543212,1957.142857142857,1.0119798545549603,-0.023049645390070927,0.00886524822695045,0.06028368794326241,1.0
2025-04-11,005930,-0.021276595744680882,57985.0,55863.333333333336,-0.048029662843838916,-0.011874216838713592,56176.668525444446,56673.30237669764,-496.63385125319473,97.28507551506397,-593.9189267682586,35.82887700534759,0.18459042978157505,1985.7142857142858,0.6101623260566208,0.0018115942028984477,0.03985507246376807,0.03985507246376811,1.0
2025-04-14,005930,0.018115942028985588,57915.0,55898.333333333336,-0.029612362945696247,0.005396702346522009,56180.257983068375,56638.24294138671,-457.98495831833134,-13.7689312516151,-444.21602706671626,40.526315789473685,0.18670100534350026,1978.5714285714287,0.5924103482569709,-0.014234875444839812,0.019572953736654908,0.05693950177935943,1.0
2025-04-15,005930,0.007117437722419906,57865.0,55943.333333333336,-0.02186122872202545,0.011738068283381864,56244.83367798093,56635.41013091362,-390.57645293268433,-89.13043558782896,-301.44601734485536,36.51685393258427,0.18786971231348357,1921.4285714285713,0.43391073769710053,-0.028268551236749095,0.0035335689045936647,0.0636042402826855,1.0
2025-04-16,005930,-0.03356890459363959,57675.0,55960.0,-0.05158214130905936,-0.022516082916368862,56007.16695829156,56492.04641751261,-484.8794592210543,-168.28024031447404,-316.59921890658023,31.60621761658031,0.19407854781472342,1985.7142857142858,0.7222404581604981,0.018281535648994485,0.02010968921389389,0.031078610603290677,1.0
2025-04-17,005930,0.007312614259597838,57420.0,55973.333333333336,-0.04040404040404044,-0.015602667937112957,55867.60281086209,56388.93186806723,-521.329057205141,-238.89000369260745,-282.4390535125335,35.911602209944746,0.19428869123973527,1914.2857142857142,0.5785548858164071,0.010889292196007316,0.014519056261343088,0.038112522686025406,1.0
2025-04-18,005930,0.003629764065335772,57100.0,56000.0,-0.031523642732048995,-0.012499999999999956,55780.2793014987,56308.27024821039,-527.9909467116959,-296.71019229642513,-231.28075441527074,42.13836477987421,0.18514291119302984,1792.857142857143,0.342654298620564,0.00723327305605781,0.00723327305605781,0.04159132007233273,1.0
2025-04-21,005930,0.001808318264014508,56845.0,56033.333333333336,-0.025420001759169697,-0.011302795954788891,55721.774793575816,56240.99097056517,-519.2161769893573,-341.21138923501155,-178.00478775434578,38.66666666666667,0.17921406666101808,1728.5714285714287,0.3566438567180084,0.0072202166064982976,-0.012635379061371799,0.04332129963898917,0.0
2025-04-22,005930,-0.0072202166064981865,56605.0,56058.333333333336,-0.0283543856549775,-0.01887914374907096,55610.732517641074,56149.06571348627,-538.3331958451963,-380.63575055704854,-157.69744528814778,37.66233766233766,0.17542148446846276,1707.142857142857,0.5857447615706288,0.014545454545454639,-0.014545454545454528,0.03636363636363636,0.0
2025-04-23,005930,0.012727272727272698,56320.0,56081.666666666664,-0.011008522727272707,-0.006805551427977008,55624.46597646552,56115.80158656136,-491.3356100958408,-402.775722464807,-88.5598876310338,43.6241610738255,0.15837590443263577,1650.0,0.6963600857370431,-0.0035906642728904536,-0.01795332136445238,0.04847396768402154,0.0
2025-04-24,005930,0.0,56015.0,56115.0,-0.005623493707042737,-0.0073955270426802056,55636.08659547083,56085.0014690383,-448.9148735674753,-412.00355268534065,-36.911320882134646,48.507462686567166,0.13161973214115769,1514.2857142857142,0.6817480763855391,-0.025134649910233398,-0.032315978456014416,0.04847396768402154,0.0
2025-04-25,005930,0.0,55790.0,56148.333333333336,-0.0016131923283743133,-0.007984802160942772,55645.91942693686,56056.482841702134,-410.5634147652745,-411.71552510132744,1.1521103360529423,61.904761904761905,0.11281586556968645,1357.142857142857,0.7955392559785145,-0.019748653500897717,0.0035906642728904536,0.04847396768402154,1.0
2025-04-28,005930,0.0017953321364452268,55690.0,56205.0,0.0019752199676781323,-0.007205764611689314,55669.624130485034,56037.48411268716,-367.85998220212787,-402.9444165214876,35.08443431935973,61.16504854368932,0.10807155319994897,1235.7142857142858,0.6269507714524948,-0.021505376344086002,0.005376344086021501,0.05017921146953405,1.0
2025-04-29,005930,0.0,55540.0,56285.0,0.004681310767014724,-0.00861686062005862,55689.68195656426,56019.89269693256,-330.21074036830396,-388.39768129085087,58.18694092254691,64.28571428571428,0.09550210704645731,1200.0,0.6992996301115225,-0.017921146953404965,0.007168458781362075,0.05017921146953405,1.0
2025-04-30,005930,-0.005376344086021501,55375.0,56331.666666666664,0.0022573363431150906,-0.014763750406816767,55660.50011709284,55981.38212678941,-320.8820096965719,-374.89454697199506,54.01253727542314,43.28358208955223,0.07912509681924239,985.7142857142857,0.888146072397383,0.037837837837837895,0.023423423423423406,0.04504504504504504,1.0
2025-05-02,005930,-0.021621621621621623,55210.0,56355.0,-0.016482521282376372,-0.03646526483896728,55451.19240677086,55856.83530258278,-405.64289581192133,-381.0442167399803,-24.598679071941035,43.28358208955223,0.07182851895354661,964.2857142857143,1.5171232310390836,0.047882136279926435,0.0644567219152854,0.02394106813996317,1.0
2025-05-07,005930,0.005524861878453136,55135.0,56365.0,-0.009703455155527396,-0.03131375853809992,55320.23972880611,55763.736391280356,-443.49666247424466,-393.5347058868332,-49.961956587411464,36.666666666666664,0.0709453627239804,907.1428571428571,1.1834115664409068,0.05128205128205132,0.08241758241758235,0.029304029304029304,1.0
2025-05-08,005930,0.0,55205.0,56380.0,-0.010959152250701876,-0.03157147924796022,55209.433616682094,55677.53369562996,-468.10007894786395,-408.44778049903937,-59.65229844882458,32.14285714285715,0.06392988337909522,914.2857142857143,1.1915328609268832,0.0494505494505495,0.09523809523809534,0.029304029304029304,1.0
2025-05-09,005930,0.00366300366300365,55270.0,56366.666666666664,-0.008503709064591969,-0.027794204612655138,55146.44382950023,55612.53119965737,-466.08737015713996,-419.97569843065946,-46.111671726480495,51.28205128205128,0.05776627046226102,807.1428571428571,0.6099619455708828,0.03649635036496357,0.08029197080291972,0.009124087591240875,1.0
2025-05-12,005930,0.051094890510948954,55500.0,56398.333333333336,0.037837837837837895,0.021306776204970568,55523.91400957712,55759.75111079386,-235.83710121674085,-383.1479789878757,147.31087777113487,69.84126984126983,0.05573366466070251,950.0,1.227964653451459,-0.03125,0.03993055555555558,0.057291666666666664,1.0
2025-05-13,005930,-0.01215277777777779,55525.0,56416.666666666664,0.02476361999099508,0.008567208271787363,55735.619546565256,55844.2139914758,-108.59444491054455,-328.2372721724095,219.64282726186497,61.76470588235294,0.05829759379517439,1000.0,1.3751715545354635,-0.017574692442882234,0.04569420035149374,0.04569420035149385,1.0
2025-05-14,005930,0.008787346221441172,55635.0,56443.333333333336,0.0317246337737036,0.016949152542372836,55991.6780778629,55959.457399514635,32.22067834826885,-256.14568206827386,288.3663604165427,63.888888888888886,0.06483814929839628,1007.1428571428571,1.0241014367696437,-0.029616724738675937,0.015679442508710784,0.05400696864111498,1.0
2025-05-15,005930,-0.0017421602787456303,55690.0,56465.0,0.028910037708744785,0.014787921721420405,56192.9583735763,56058.75685140244,134.20152217386203,-178.07624121984668,312.2777633937087,66.66666666666666,0.06937457250744998,1057.142857142857,1.0779978892967943,-0.04537521815008727,-0.0017452006980802626,0.05235602094240838,0.0
