datetime,date,symbol,yahoo_symbol,hour,minute,open_price,high_price,low_price,current_price,volume,vwap_session,return_1d,return_3b,return_10b,sma_20,sma_60,price_vs_sma20,price_vs_sma60,price_vs_vwap,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,stoch_k_14,stoch_d_3,roc_10,momentum_10,bb_width_20,atr_14,intraday_range,open_to_close_return,rolling_volatility_20,volume_ratio_20d,obv,obv_change_10,mfi_14,er_5b,er_20b,dd_20b,p_up_20b
2026-02-05T11:45:00+09:00,2026-02-05,005930,005930.KS,11,45,161300.0,161300.0,160000.0,160200.0,1610258.0,163651.67448277093,-0.0068195908245505255,-0.0074349442379182396,-0.018983466013472117,164630.0,163785.83333333334,-0.026908825851910345,-0.021893427901273577,-0.021091592821644634,162668.73502699359,163887.6430184753,-1218.907991481712,-631.5912004682936,-587.3167910134185,9.523809523809533,2.2222222222222223,6.48786717752235,-0.018983466013472117,-3100.0,0.06926898966135156,1378.5714285714287,0.008114856429463172,-0.006819590824550527,0.006761195113789922,1.1667558862460505,-3379704.0,-6584106.0,25.474497615078874,-0.003121098626716612,-0.024968789013732784,0.0018726591760299626,0.0
2026-02-05T12:00:00+09:00,2026-02-05,005930,005930.KS,12,0,160100.0,160400.0,159600.0,159900.0,1868417.0,163561.0613010595,-0.0018726591760299671,-0.010519801980197974,-0.019619865113427393,164277.5,163810.83333333334,-0.026646984523139183,-0.023874082401957653,-0.022383452833683593,162242.77579207148,163592.2620541438,-1349.4862620723143,-775.1702127890977,-574.3160492832166,8.411214953271028,3.1914893617021276,4.1034211026874265,-0.019619865113427393,-3200.0,0.07244860892401081,1385.7142857142858,0.0050031269543464665,-0.0012492192379762648,0.006740423682068212,1.2930565075224143,-5248121.0,-6863951.0,24.41010504373139,-0.000625390869293363,-0.010631644777986282,0.0006253908692933083,0.0
2026-02-05T12:15:00+09:00,2026-02-05,005930,005930.KS,12,15,159850.0,160300.0,159600.0,159800.0,1451956.0,163492.41469401674,-0.000625390869293363,-0.00929944203347799,-0.0178242163491088,163927.5,163822.5,-0.025178813804883293,-0.02455401425323145,-0.022584623885623434,161866.9641317528,163311.35375383683,-1444.3896220840397,-909.0140946480863,-535.3755274359535,8.411214953271028,4.545454545454546,3.319722043126299,-0.0178242163491088,-2900.0,0.07487128909991167,1364.2857142857142,0.004380475594493116,-0.00031279324366593683,0.006743184433120619,0.9718012155178735,-6700077.0,-7149856.0,24.10135241748324,0.0084480600750938,-0.006883604505632079,0.0,0.0
2026-02-05T12:30:00+09:00,2026-02-05,005930,005930.KS,12,30,159800.0,160200.0,159500.0,159800.0,860130.0,163452.21734806054,0.0,-0.0024968789013732895,-0.022031823745410017,163540.0,163825.0,-0.022869022869022815,-0.024568899740576855,-0.022344250860074855,161548.96964994466,163051.25347577484,-1502.283825830178,-1027.6680408845048,-474.61578494567334,15.254237288135585,6.666666666666667,4.8012035246077795,-0.022031823745410017,-3600.0,0.07522994557337448,935.7142857142857,0.004380475594493116,0.0,0.006592166694956229,0.5712396544044256,-6700077.0,-8676709.0,29.609110392963288,0.008760951188986343,-0.001877346683354153,0.007509386733416771,0.0
2026-02-05T12:45:00+09:00,2026-02-05,005930,005930.KS,12,45,159800.0,159800.0,158500.0,158600.0,1542765.0,163365.54061913377,-0.007509386733416723,-0.008130081300813052,-0.028781383955909345,163090.0,163810.0,-0.027530811208535177,-0.03180514010133695,-0.029171027139952566,161095.28201149162,162721.53099608782,-1626.2489845961973,-1147.3842296268433,-478.86475496935395,13.846153846153854,1.8181818181818181,4.343434343434343,-0.028781383955909345,-4700.0,0.07620510337119046,935.7142857142857,0.00819672131147541,-0.007509386733416771,0.006655067914919678,0.9935899180150575,-8242842.0,-9225049.0,17.91162134730787,0.011034047919293855,-0.005674653215636871,0.0,0.0
2026-02-05T13:00:00+09:00,2026-02-05,005930,005930.KS,13,0,158600.0,160400.0,158500.0,159700.0,1330916.0,163302.70490369594,0.006935687263556201,-0.0006257822277847547,-0.018438844499078066,162660.0,163806.66666666666,-0.018197467109307808,-0.0250702047128728,-0.022061513958513745,160880.62324049292,162497.7138852665,-1617.0906447735906,-1241.3255126561928,-375.7651321173978,27.027027027027017,23.076923076923077,10.52059052059052,-0.018438844499078066,-3000.0,0.0724768209311731,985.7142857142857,0.011897307451471509,0.0069356872635561164,0.006823346903523657,0.8474622030925217,-6911926.0,-7091332.0,25.315659802649904,0.003130870381966133,-0.015028177833437684,0.0068879148403256105,0.0
2026-02-05T13:15:00+09:00,2026-02-05,005930,005930.KS,13,15,159700.0,159900.0,158900.0,159800.0,989074.0,163257.32697768396,0.0006261740763933155,0.0,-0.015403573629081957,162215.0,163788.33333333334,-0.014887649107665712,-0.024350533717297784,-0.021177162714152153,160714.3735111863,162297.88322709862,-1583.5097159123106,-1309.7623533074166,-273.7473626048941,29.577464788732385,25.0,16.63170163170163,-0.015403573629081957,-2500.0,0.06558118383669875,1000.0,0.006257822277847309,0.0006261740763932373,0.006770023494515859,0.6436725297766568,-5922852.0,-5088860.0,27.037429366798065,0.0025031289111390187,-0.01251564455569465,0.007509386733416771,0.0
2026-02-05T13:30:00+09:00,2026-02-05,005930,005930.KS,13,30,159800.0,161200.0,159700.0,161150.0,1038231.0,163225.20556659426,0.0084480600750938,0.01607818411097095,-0.0015489467162329573,161832.5,163787.5,-0.0042173234671650794,-0.016103182477295253,-0.012713756796266407,160781.39297100378,162212.85483990615,-1431.4618689023773,-1334.102256426409,-97.35961247596833,35.48387096774192,50.96153846153846,33.01282051282051,-0.0015489467162329573,-250.0,0.05423979530492402,1021.4285714285714,0.00930809804529941,0.008448060075093867,0.007165017011357401,0.670803184326908,-4884621.0,-2226715.0,24.828090294750254,-0.011479987589202656,-0.025752404591995015,0.015823766677008997,0.0
2026-02-05T13:45:00+09:00,2026-02-05,005930,005930.KS,13,45,161150.0,161600.0,160800.0,161200.0,1126195.0,163198.15748534424,0.00031026993484339904,0.009392611145898622,-0.0024752475247524774,161457.5,163795.83333333334,-0.0015948469411455335,-0.01584798148101041,-0.012243750273490006,160845.79405238782,162137.82855546864,-1292.034503080824,-1325.6887057572922,33.65420267646823,36.36363636363636,55.10204081632652,43.68785975928832,-0.0024752475247524774,-400.0,0.037871654802865584,1014.2857142857143,0.004962779156327543,0.00031026993484331366,0.0071784006791015455,0.7266424186911945,-3758426.0,-2802382.0,25.356608835249503,-0.056451612903225756,-0.018610421836228297,0.016129032258064516,0.0
2026-02-05T14:00:00+09:00,2026-02-05,005930,005930.KS,14,0,161200.0,161200.0,160200.0,160350.0,740693.0,163175.38888675522,-0.0052729528535979675,0.003441802252815984,-0.0058896466212027265,161280.0,163808.33333333334,-0.005766369047619069,-0.021112072035407325,-0.01731504307133014,160769.51804432817,162005.39681061913,-1235.87876629096,-1307.7267178640259,71.84795157306598,35.22012578616352,43.02325581395349,49.695611697272824,-0.0058896466212027265,-950.0,0.03566904583437881,1028.5714285714287,0.006236357966947303,-0.005272952853598015,0.004037605095388674,0.5602867042980871,-4499119.0,-2729673.0,25.467042558479662,-0.047084502650452165,-0.01714998440910509,0.01091362644215778,0.0
